"ALL GROUPS","WSZYSTKIE GRUPY","module","Magento_CatalogInventory"
"Customer Group","Grupa klientów","module","Magento_CatalogInventory"
"Minimum Qty","Minimalna ilość","module","Magento_CatalogInventory"
"Add Minimum Qty","Dodaj minimalną ilość","module","Magento_CatalogInventory"
"We can't rebuild the index for an undefined product.","Nie możemy odbudować indeksu dla niezdefiniowanego produktu.","module","Magento_CatalogInventory"
"Could not rebuild index for empty products array","Nie można odbudować indeksu dla pustej tablicy produktów","module","Magento_CatalogInventory"
"The Product stock item is invalid. Verify the stock item and try again.","Pozycja produktu w magazynie jest nieprawidłowa. Sprawdź produkt w magazynie i spróbuj ponownie.","module","Magento_CatalogInventory"
"This product is out of stock.","Ten produkt jest niedostępny.","module","Magento_CatalogInventory"
"Some of the products are out of stock.","Niektóre produkty są niedostępne.","module","Magento_CatalogInventory"
"The stock item for Product in option is not valid.","Pozycja magazynowa produktu w opcji jest nieprawidłowa.","module","Magento_CatalogInventory"
"Undefined product type","Niezdefiniowany typ produktu","module","Magento_CatalogInventory"
"%1 is not a correct comparison method.","%1 nie jest poprawną metodą porównania.","module","Magento_CatalogInventory"
"No Backorders","Brak zaległych zamówień","module","Magento_CatalogInventory"
"Allow Qty Below 0","Zezwalaj na ilość poniżej 0","module","Magento_CatalogInventory"
"Allow Qty Below 0 and Notify Customer","Zezwól na ilość poniżej 0 i powiadom klienta","module","Magento_CatalogInventory"
"In Stock","W magazynie","module","Magento_CatalogInventory"
"Out of Stock","Obecnie brak na stanie","module","Magento_CatalogInventory"
"The stock item was unable to be saved. Please try again.","Nie można zapisać pozycji magazynowej. Proszę spróbuj ponownie.","module","Magento_CatalogInventory"
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","Nie znaleziono pozycji magazynowej o identyfikatorze „%1”. Sprawdź identyfikator i spróbuj ponownie.","module","Magento_CatalogInventory"
"The stock was unable to be saved. Please try again.","Nie udało się zapisać akcji. Proszę spróbuj ponownie.","module","Magento_CatalogInventory"
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","Nie znaleziono akcji o identyfikatorze „%1”. Sprawdź identyfikator i spróbuj ponownie.","module","Magento_CatalogInventory"
"Unable to remove Stock with id ""%1""","Nie można usunąć akcji z identyfikatorem ""%1""","module","Magento_CatalogInventory"
"The stock status was unable to be saved. Please try again.","Nie udało się zapisać stanu magazynowego. Proszę spróbuj ponownie.","module","Magento_CatalogInventory"
"Unable to remove Stock Status for product %1","Nie można usunąć statusu magazynu dla produktu % 1","module","Magento_CatalogInventory"
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","Wartość „%1” jest nieprawidłowa dla identyfikatora akcji. Wpisz stock z domyślną wartością %2, aby spróbować ponownie.","module","Magento_CatalogInventory"
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","Wartość „%1” jest nieprawidłowa dla identyfikatora pozycji magazynowej. Wprowadź zero lub liczbę niż zero, aby spróbować ponownie.","module","Magento_CatalogInventory"
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","Wartość „%1” jest nieprawidłowa dla identyfikatora pozycji magazynowej. Użyj wartości „%2” przypisanej do identyfikatora pozycji magazynowej i spróbuj ponownie.","module","Magento_CatalogInventory"
"Not all of your products are available in the requested quantity.","Nie wszystkie Twoje produkty są dostępne w żądanej ilości.","module","Magento_CatalogInventory"
"The Product with the ""%1"" SKU doesn't exist.","Produkt z kodem SKU „%1” nie istnieje.","module","Magento_CatalogInventory"
"The fewest you may purchase is %1.","Najmniej, które możesz kupić, to %1.","module","Magento_CatalogInventory"
"Please correct the quantity for some products.","Popraw ilość dla niektórych produktów.","module","Magento_CatalogInventory"
"The most you may purchase is %1.","Maksymalna kwota, jaką możesz kupić, to %1.","module","Magento_CatalogInventory"
"The requested qty is not available","Żądana ilość nie jest dostępna","module","Magento_CatalogInventory"
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Nie mamy tylu „%1”, ile prosiłeś, ale zwrócimy zamówienie na pozostałe %2.","module","Magento_CatalogInventory"
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","Nie mamy ""%1"" w żądanej ilości, więc zwrócimy zamówienie na pozostałe %2.","module","Magento_CatalogInventory"
"You can buy %1 only in quantities of %2 at a time.","Możesz kupić %1 tylko w ilościach %2 na raz.","module","Magento_CatalogInventory"
"You can buy this product only in quantities of %1 at a time.","Możesz kupić ten produkt tylko w ilości %1 na raz.","module","Magento_CatalogInventory"
"Quantity increments can't use decimals. Enter a new increment and try again.","Przyrosty ilości nie mogą używać ułamków dziesiętnych. Wprowadź nowy przyrost i spróbuj ponownie.","module","Magento_CatalogInventory"
"Something went wrong while updating the product(s) attributes.","Coś poszło nie tak podczas aktualizowania atrybutów produktów.","module","Magento_CatalogInventory"
"Stock Status","Stan magazynowy","module","Magento_CatalogInventory"
"Quantity","Ilość","module","Magento_CatalogInventory"
"Advanced Inventory","Zaawansowany ekwipunek","module","Magento_CatalogInventory"
"%1 is available to buy in increments of %2","% 1 można kupić w przyrostach o % 2","module","Magento_CatalogInventory"
"Only %1 left","Zostało tylko % 1","module","Magento_CatalogInventory"
"Product availability","Dostępność produktu","module","Magento_CatalogInventory"
"Product Name","Nazwa produktu","module","Magento_CatalogInventory"
"Qty","Ilość","module","Magento_CatalogInventory"
"Inventory Section","Sekcja inwentaryzacji","module","Magento_CatalogInventory"
"Inventory","Spis","module","Magento_CatalogInventory"
"Stock Options","Opcje na akcje","module","Magento_CatalogInventory"
"Decrease Stock When Order is Placed","Zmniejsz zapasy po złożeniu zamówienia","module","Magento_CatalogInventory"
"Set Items' Status to be In Stock When Order is Cancelled","Ustaw status pozycji na w magazynie, gdy zamówienie zostanie anulowane","module","Magento_CatalogInventory"
